Movie,Views,Sentiment,Total BO Collection
GRAND MASTI Official Trailer (2013),543894,0.15833333333333333,1450000000
Shivaay | Official Trailer | Ajay Devgn,38793097,0.25233333333333335,1470000000
"Official Trailer: Batla House | John Abraham,Mrunal Thakur, Nikkhil Advani |Releasing On 15 Aug,2019",35680988,0.1325,1270000000
Welcome Back Official Trailer | Watch Full Movie On Eros Now,9293065,0.19340277777777776,1680000000
Baaghi 3 | Official Trailer | Tiger Shroff |Shraddha|Riteish|Sajid Nadiadwala|Ahmed Khan| 6th MARCH,129990030,0.08916666666666666,1370000000
"Baby Theatrical Trailer | Anand Deverakonda, Vaishnavi Chaitanya, Viraj Ashwin | Sai Rajesh | SKN",20106390,0.1573125,1420000000
"Luka Chuppi Official Trailer | Kartik Aaryan, Kriti Sanon, Dinesh Vijan, Laxman Utekar | Mar 1",68680173,0.2644590909090909,1280000000
Rajneeti - Official Full Movie Trailer-First Look,66459,0.12818181818181817,1450000000
"Talaash Official Theatrical Trailer (with English Subtitles) | Aamir Khan, Kareena Kapoor",752404,0.15530753968253969,1750000000
Official Trailer: Satyameva Jayate | John Abraham | Manoj Bajpayee | Aisha S | Milap Milan Zaveri,55574905,0.35750000000000004,1210000000
Bholaa - Official Trailer | Ajay Devgn | Tabu | Bholaa In IMAX 3D,55390333,0.15583333333333335,1230000000
Singh Is Bliing | Official Trailer | Akshay Kumar | 2nd October,5239532,0.2015972222222222,1460000000
"Zindagi Na Milegi Dobara | Official Trailer | Hrithik Roshan, Farhan Akhtar, Abhay Deol",2193043,0.3605043266309714,1530000000
Badla | Trailer | Netflix,1896875,0.24067234848484848,1400000000
Gabbar Is Back - Official Trailer HD | Starring Akshay Kumar &amp; Shruti Haasan | In Cinemas Now,9583075,0.08916666666666666,1350000000
Rab Ne Bana Di Jodi | Official Trailer with English Subtitles | Shah Rukh Khan | Anushka Sharma,1865991,0.1662326388888889,1510000000
Kantara A Legend Chapter-1 First Look Teaser | RishabShetty|Ajaneesh| VijayKiragandur |Hombale Films,24098804,0.05555555555555555,4070000000
Kalank | Official Trailer | Varun | Aditya Roy | Sanjay | Alia | Sonakshi | Madhuri| Abhishek Varman,38085976,0.21911607142857142,1460000000
"Official Trailer: Pati Patni Aur Woh | Kartik Aaryan, Bhumi Pednekar, Ananya Panday |Releasing 6 Dec",57614762,0.11569444444444443,1090000000
